timestamp,Pressure Differential (bar),Turbidity Level (NTU),Flow Rate (m^3/h),Water Quality Parameter,Temperature (°C),Anomaly
2025-04-05 02:47:36,1.94,7.31,153.17,53.86,38.69,Normal
2025-03-31 23:59:59,1.91,8.89,158.53,57.57,28.35,Normal
2025-04-13 22:39:38,2.73,6.9,151.5,57.98,9.1,Normal
2025-04-11 00:18:15,1.48,7.58,155.2,61.45,4.85,Normal
2025-04-06 10:15:05,2.11,6.14,152.8,55.87,18.76,Normal
2025-04-20 06:04:29,1.69,8.88,153.91,59.51,33.83,Normal
2025-04-08 22:41:33,2.17,7.23,154.59,57.9,19.7,Normal
2025-04-04 11:09:18,1.83,8.1,151.96,57.21,17.62,Normal
2025-04-08 22:19:49,2.27,6.74,158.7,60.7,-6.74,Normal
2025-04-22 20:34:55,1.7,8.1,152.8,69.8,34.3,Normal
2025-04-20 01:30:56,2.33,6.85,155.3,58.5,-1.85,Normal
2025-04-14 06:36:18,2.4,6.1,157.79,68.12,-5.68,Normal
2025-04-17 15:36:48,2.2,7.69,154.78,66.1,33.7,Normal
2025-04-14 05:53:05,1.17,7.14,151.95,67.19,8.36,Normal
2025-04-02 04:16:06,1.81,7.35,150.0,60.98,-1.81,Normal
2025-04-11 04:54:08,1.22,7.3,152.94,60.52,42.85,Normal
2025-04-09 02:05:45,2.42,7.8,154.44,66.51,34.68,Normal
2025-04-27 16:51:25,1.32,6.9,156.0,66.68,34.92,Normal
2025-04-05 18:16:56,2.64,7.85,156.41,62.89,9.7,Normal
2025-04-06 21:00:59,1.96,6.99,156.28,55.89,24.59,Normal
2025-04-02 03:35:31,1.15,7.17,157.85,66.71,29.4,Normal
2025-04-21 04:43:07,2.7,7.2,157.57,58.96,6.81,Normal
2025-04-22 07:55:28,2.7,6.53,156.98,68.89,-8.97,Normal
2025-04-27 15:48:40,2.61,6.45,154.96,62.53,25.95,Normal
2025-04-26 05:22:24,1.62,6.34,156.62,50.49,12.85,Normal
2025-04-19 08:08:47,1.59,6.79,158.3,62.75,27.84,Normal
2025-04-29 02:59:58,1.99,6.39,151.74,50.39,27.86,Normal
2025-04-17 22:20:51,2.91,6.9,159.88,57.13,35.98,Normal
2025-04-25 20:06:00,2.59,7.93,159.34,60.31,44.11,Normal
2025-04-13 06:03:29,2.31,7.72,159.85,62.43,-8.63,Normal
2025-04-15 11:45:08,1.62,6.45,154.43,58.76,35.35,Normal
2025-04-17 15:01:23,2.7,8.44,156.95,67.42,13.89,Normal
2025-03-31 09:34:02,1.35,6.6,158.37,54.81,46.96,Normal
2025-04-22 11:58:13,2.56,7.23,150.32,65.14,43.8,Normal
2025-04-19 03:56:28,2.9,8.8,150.19,54.72,10.1,Normal
2025-04-02 15:15:24,1.97,6.8,153.33,52.2,6.22,Normal
2025-04-14 15:28:37,2.56,6.59,154.89,62.34,23.69,Normal
2025-04-23 16:23:47,2.1,8.5,156.94,60.77,7.3,Normal
2025-04-27 16:27:35,1.97,6.6,158.83,64.35,2.74,Normal
2025-04-04 18:57:03,1.42,7.88,157.36,62.97,26.4,Normal
2025-04-19 07:58:53,1.84,8.59,156.6,56.66,14.79,Normal
2025-04-23 21:52:11,2.97,6.26,154.7,54.36,19.89,Normal
2025-04-27 20:44:34,2.19,7.68,157.44,60.7,39.69,Normal
2025-04-18 05:14:59,2.84,8.19,157.4,54.64,28.42,Normal
2025-04-04 14:00:59,2.12,8.58,150.92,54.52,46.83,Normal
2025-04-07 04:55:37,1.6,7.43,159.88,62.83,-4.42,Normal
2025-04-03 00:47:57,1.8,8.36,153.95,52.55,-3.97,Normal
2025-04-11 13:35:38,2.72,8.23,152.22,52.78,46.48,Normal
2025-04-07 09:08:17,1.56,7.75,154.81,63.88,7.58,Normal
2025-04-18 22:13:49,2.1,8.87,150.77,65.36,40.29,Normal
2025-04-06 08:26:33,1.8,8.5,154.56,51.74,14.93,Normal
2025-04-22 14:23:37,1.79,8.41,159.28,52.81,43.59,Normal
2025-04-25 22:27:11,2.75,8.93,152.53,53.62,30.52,Normal
2025-04-13 07:00:15,1.88,7.27,157.56,57.46,-3.87,Normal
2025-04-28 16:48:31,1.6,7.31,152.72,56.8,44.97,Normal
2025-04-26 14:46:55,1.75,6.29,155.99,54.76,-9.35,Normal
2025-03-31 23:07:09,1.1,7.3,159.41,50.22,7.6,Normal
2025-04-06 21:54:17,1.16,7.79,159.7,60.48,29.67,Normal
2025-04-14 00:39:50,2.64,8.55,151.89,53.83,32.98,Normal
2025-04-17 21:10:32,1.87,7.8,151.1,52.55,-3.95,Normal
2025-04-17 19:14:54,1.71,6.75,158.71,60.85,-2.52,Normal
2025-04-16 21:03:17,2.92,6.36,159.39,61.13,27.64,Normal
2025-04-10 00:56:31,1.84,7.28,151.44,67.47,-2.97,Normal
2025-04-13 05:38:19,1.54,8.98,159.78,67.3,29.84,Normal
2025-04-12 16:40:57,1.23,7.89,154.43,61.0,2.18,Normal
2025-04-27 04:53:42,2.8,6.94,150.11,66.27,15.53,Normal
2025-04-27 06:22:39,1.6,6.2,159.6,52.34,19.84,Normal
2025-04-28 12:08:05,2.67,8.39,150.28,62.76,-6.0,Normal
2025-03-31 02:05:21,2.95,7.22,152.48,67.9,5.64,Normal
2025-04-03 11:47:59,2.73,7.73,156.9,63.37,-2.51,Normal
2025-04-28 22:55:44,1.97,8.9,152.98,65.59,39.72,Normal
2025-04-28 10:08:14,1.45,8.9,154.59,64.4,-6.47,Normal
2025-04-18 11:27:47,2.32,8.84,159.19,60.1,28.84,Normal
2025-04-05 23:19:22,1.39,8.48,155.16,66.11,32.85,Normal
2025-04-24 08:35:04,1.84,7.98,159.16,69.48,0.2,Normal
2025-04-14 17:38:22,2.24,7.86,159.56,64.98,9.99,Normal
2025-04-02 05:52:37,2.47,8.13,158.15,59.1,39.2,Normal
2025-04-21 14:41:07,2.3,7.6,156.64,61.3,15.1,Normal
2025-04-17 21:53:17,1.3,7.12,155.18,54.4,9.6,Normal
2025-04-22 12:49:49,1.81,7.47,154.95,50.45,41.8,Normal
2025-04-15 20:29:44,1.5,7.69,155.82,55.99,34.59,Normal
2025-04-01 20:07:16,1.5,7.39,158.5,67.6,7.4,Normal
2025-04-23 20:44:24,2.66,7.1,156.1,63.77,43.23,Normal
2025-04-04 16:37:06,1.41,8.37,154.57,69.91,18.21,Normal
2025-04-21 06:16:26,2.57,6.93,155.78,63.35,31.7,Normal
2025-04-05 05:15:37,1.94,6.63,158.49,67.15,7.99,Normal
2025-04-05 14:28:51,1.17,6.63,150.46,67.73,14.59,Normal
2025-04-22 22:46:06,2.98,7.73,151.16,60.82,-5.57,Normal
2025-04-03 12:57:42,2.25,8.7,154.16,59.78,25.11,Normal
2025-04-24 02:37:24,1.75,8.19,152.84,69.92,48.77,Normal
2025-04-23 03:45:17,1.87,7.38,157.9,51.2,19.53,Normal
2025-04-23 05:16:36,2.26,7.77,152.4,60.93,46.44,Normal
2025-04-22 08:33:47,1.34,7.31,152.12,51.37,15.78,Normal
2025-04-18 19:14:37,2.3,6.74,155.6,51.36,22.76,Normal
2025-04-22 13:21:24,2.68,6.13,156.17,58.93,14.97,Normal
2025-04-17 19:53:27,2.71,7.96,152.25,69.65,16.64,Normal
2025-04-15 21:06:13,2.66,7.19,159.65,54.41,30.4,Normal
2025-04-25 13:18:15,2.9,8.38,157.2,61.42,34.14,Normal
2025-04-19 22:23:16,2.92,8.8,150.76,65.33,32.99,Normal
2025-04-09 18:39:14,2.84,7.67,156.4,55.58,49.68,Normal
2025-04-16 07:55:23,2.86,8.87,154.78,65.24,6.35,Normal
2025-04-23 10:48:47,2.61,7.71,154.36,53.73,34.69,Normal
2025-04-16 12:37:33,2.83,7.95,157.27,56.68,8.71,Normal
2025-04-11 11:34:02,1.85,8.28,153.6,53.52,12.91,Normal
2025-04-22 15:28:25,1.87,6.0,158.2,63.83,47.6,Normal
2025-04-18 23:36:55,2.23,8.37,150.1,59.72,29.13,Normal
2025-04-24 04:32:01,2.34,6.14,155.2,64.82,7.91,Normal
2025-04-08 18:01:15,1.94,7.37,159.86,56.22,30.81,Normal
2025-04-27 12:32:01,1.33,8.46,153.7,53.59,10.2,Normal
2025-04-27 02:23:15,1.7,8.64,153.73,67.19,1.41,Normal
2025-04-24 23:19:30,2.14,8.26,159.62,52.65,19.7,Normal
2025-04-26 20:07:45,2.86,7.92,150.5,58.0,38.27,Normal
2025-04-22 15:05:10,1.36,7.23,152.98,63.47,48.48,Normal
2025-04-21 11:40:01,2.48,6.87,158.17,61.15,2.68,Normal
2025-04-05 04:33:24,1.84,7.78,150.3,56.8,-3.76,Normal
2025-04-11 01:54:04,2.73,8.98,155.3,59.18,33.66,Normal
2025-04-19 17:53:14,2.71,8.17,156.31,58.26,12.82,Normal
2025-04-03 13:12:25,2.47,6.68,153.6,58.48,34.77,Normal
2025-04-11 11:43:29,1.5,6.7,155.99,59.48,20.68,Normal
2025-04-06 19:05:44,1.33,8.74,159.92,63.37,0.25,Normal
2025-04-15 17:24:15,1.48,8.31,157.7,60.32,39.62,Normal
2025-04-26 05:51:21,2.23,8.82,150.67,51.9,43.85,Normal
2025-04-02 01:36:24,1.52,6.8,153.8,54.1,4.64,Normal
2025-04-21 20:22:23,2.7,8.81,159.61,65.2,-9.68,Normal
2025-04-24 02:12:26,2.22,6.12,158.19,57.24,30.67,Normal
2025-04-11 23:10:18,2.34,7.1,155.51,64.72,6.89,Normal
2025-04-18 00:31:03,2.7,8.1,152.1,65.55,32.42,Normal
2025-04-27 04:21:14,1.67,6.29,153.88,68.6,8.5,Normal
2025-04-27 02:08:32,1.72,7.86,158.42,62.96,38.17,Normal
2025-04-18 03:54:00,1.98,8.37,153.91,52.1,8.19,Normal
2025-04-08 19:24:38,2.57,8.71,158.52,53.3,-4.45,Normal
2025-04-18 12:54:09,1.92,8.31,159.66,55.87,15.21,Normal
2025-04-06 10:50:37,2.38,7.63,152.8,55.55,8.53,Normal
2025-04-28 12:55:04,1.58,6.17,154.0,62.42,44.79,Normal
2025-04-18 03:41:13,2.56,7.55,159.17,59.41,29.88,Normal
2025-04-23 13:08:53,1.41,7.35,156.46,53.72,3.75,Normal
2025-04-11 23:28:43,1.91,7.48,151.57,69.61,28.51,Normal
2025-04-19 02:40:18,2.55,6.1,151.33,57.65,38.66,Normal
2025-04-26 19:11:34,1.57,7.5,157.98,68.88,23.19,Normal
2025-04-06 14:08:48,2.39,7.58,153.66,65.44,21.12,Normal
2025-04-16 08:47:53,1.86,6.94,153.66,55.7,1.42,Normal
2025-04-26 21:21:16,2.59,6.51,152.23,63.5,-8.94,Normal
2025-04-29 12:34:11,1.57,8.54,156.0,56.26,8.96,Normal
2025-04-14 03:37:54,1.86,6.4,151.3,59.14,2.47,Normal
2025-04-06 13:46:40,2.53,8.17,159.49,63.23,22.81,Normal
2025-04-21 14:32:15,1.45,6.62,152.24,62.71,23.83,Normal
2025-04-23 17:45:54,2.87,7.53,157.62,55.1,27.3,Normal
2025-04-12 17:11:47,2.69,6.97,157.69,56.54,-3.94,Normal
2025-04-11 17:28:42,2.4,7.33,155.11,64.15,40.3,Normal
2025-04-02 14:09:23,2.83,6.89,152.31,54.91,11.31,Normal
2025-04-18 18:36:46,2.18,8.8,154.8,63.48,19.9,Normal
2025-04-04 05:32:47,2.65,8.35,155.58,65.41,28.0,Normal
2025-04-23 17:28:04,2.41,7.43,158.73,54.72,45.62,Normal
2025-04-18 22:51:17,2.92,8.96,153.54,52.9,-3.0,Normal
2025-04-04 17:19:18,2.47,7.17,156.99,54.82,34.18,Normal
2025-04-03 00:47:19,1.78,8.21,157.44,56.8,38.19,Normal
2025-04-19 16:45:36,2.27,6.12,152.96,53.75,37.49,Normal
2025-04-13 03:46:26,1.31,8.76,159.92,69.36,40.88,Normal
2025-04-01 00:20:09,2.26,8.77,158.24,62.37,32.6,Normal
2025-04-28 05:24:41,1.1,7.27,150.7,62.64,9.8,Normal
2025-04-28 04:19:55,1.39,8.55,153.7,57.11,18.14,Normal
2025-04-24 09:54:26,1.5,6.31,150.6,61.49,49.19,Normal
2025-04-08 09:35:16,1.7,8.94,156.28,60.31,17.92,Normal
2025-04-21 21:13:52,1.47,6.37,159.38,69.31,20.47,Normal
2025-04-01 16:04:15,1.41,6.11,153.45,62.65,-6.86,Normal
2025-04-05 15:50:18,1.59,6.21,159.55,62.63,-8.48,Normal
2025-03-31 23:26:56,2.76,6.3,154.7,65.67,13.98,Normal
2025-04-15 02:44:43,1.9,8.88,159.45,57.85,28.22,Normal
2025-04-27 12:29:03,2.98,8.4,152.77,60.78,5.81,Normal
2025-04-27 03:59:49,1.63,6.42,151.3,61.4,1.81,Normal
2025-04-12 04:06:41,1.92,6.6,156.56,63.21,47.52,Normal
2025-04-10 15:54:22,1.57,6.4,154.2,60.33,-3.9,Normal
2025-04-09 16:34:01,1.52,8.7,158.33,59.38,6.12,Normal
2025-03-31 23:04:03,1.21,8.37,151.6,53.39,41.5,Normal
2025-04-04 09:45:00,1.85,7.69,156.96,68.29,26.7,Normal
2025-04-05 04:10:38,2.19,6.72,159.74,53.13,27.99,Normal
2025-04-29 06:13:05,2.4,7.42,153.6,65.34,48.47,Normal
